City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,galle,6.0367,80.217,26.63,84,100,0.45,LK,1724261684
283,naryn,41.4287,75.9911,12.75,48,81,0.53,KG,1724261685
284,sitka,57.0531,-135.33,12.94,82,0,0.0,US,1724261594
285,itoman,26.1247,127.6694,30.01,86,75,5.66,JP,1724261689
286,kruisfontein,-34.0033,24.7314,11.44,64,82,12.1,ZA,1724261690
287,santa elena de uairen,4.6167,-61.1333,26.81,53,50,3.67,VE,1724261691
288,thompson,55.7435,-97.8558,24.09,73,75,1.54,CA,1724261692
289,san luis de la loma,17.2706,-100.8939,31.18,67,33,4.08,MX,1724261694
290,saipan,15.1355,145.701,28.39,89,75,3.09,MP,1724261501
291,thabazimbi,-24.5917,27.4116,18.78,21,2,0.53,ZA,1724261696
292,balqash,46.8481,74.995,22.29,50,96,3.28,KZ,1724261697
293,as sulayyil,20.4607,45.5779,31.15,49,72,9.4,SA,1724261698
294,holualoa,19.6228,-155.9522,23.26,99,100,3.6,US,1724261699
295,jiuquan,39.7432,98.5174,23.76,29,60,1.97,CN,1724261701
296,gushu,31.5598,118.4829,24.36,88,22,2.32,CN,1724261702
297,genhe,50.7833,121.5167,12.63,91,100,1.45,CN,1724261703
298,mangaratiba,-22.9597,-44.0406,23.18,74,5,2.98,BR,1724261705
299,pangkalanbuun,-2.6833,111.6167,23.09,100,100,0.45,ID,1724261706
300,vadso,70.0744,29.7487,18.09,63,75,5.14,NO,1724261707
301,pangody,65.85,74.4859,13.47,63,82,2.32,RU,1724261708
302,senanga,-16.1167,23.2667,20.72,16,9,3.28,ZM,1724261709
303,jutai,-5.1833,-68.9,35.39,35,38,1.58,BR,1724261710
304,lautoka,-17.6167,177.4667,23.92,69,20,3.09,FJ,1724261712
305,shiyan,32.6475,110.7781,23.99,89,0,1.56,CN,1724261713
306,galliano,29.4422,-90.2992,32.0,48,0,2.57,US,1724261714
307,slave lake,55.2834,-114.769,17.99,68,75,4.12,CA,1724261715
308,san mariano,7.5,126.0,22.77,94,100,0.9,PH,1724261716
309,myitkyina,25.3833,97.4,24.17,99,100,0.42,MM,1724261718
310,yanjiang,30.1211,104.6481,28.97,73,32,1.39,CN,1724261719
311,hobyo,5.3505,48.5268,25.22,74,96,11.18,SO,1724261720
312,yanam,16.7333,82.2167,27.16,90,100,1.54,IN,1724261721
313,kegen,43.0197,79.2203,12.27,71,93,2.05,KZ,1724261722
314,san juan de miraflores,-12.1629,-76.9635,18.98,78,44,4.73,PE,1724261723
315,prado,-17.3411,-39.2208,26.06,64,0,3.72,BR,1724261725
316,libreville,0.3925,9.4537,26.01,78,20,3.09,GA,1724261727
317,yung shue wan,22.2333,114.1167,27.68,87,100,1.21,HK,1724261728
318,hami,42.8,93.45,31.0,21,90,3.03,CN,1724261729
319,piti village,13.4626,144.6933,28.03,88,0,2.06,GU,1724261731
320,aghajari,30.7006,49.8315,34.12,66,0,3.09,IR,1724261733
321,port-gentil,-0.7193,8.7815,25.98,73,40,4.12,GA,1724261734
322,knyaze-volkonskoye,48.4642,135.4567,20.19,83,100,2.66,RU,1724261735
323,ndele,8.4109,20.6473,21.17,98,98,2.82,CF,1724261736
324,usinsk,65.9939,57.5281,13.04,73,86,3.52,RU,1724261737
325,southeast arcadia,27.1863,-81.8521,31.14,50,30,5.66,US,1724261739
326,leh,34.1667,77.5833,13.97,51,35,3.1,IN,1724261459
327,aasiaat,68.7098,-52.8699,2.03,81,91,3.91,GL,1724261741
328,bayanaul,50.7889,75.6956,16.94,55,83,0.75,KZ,1724261742
329,lorengau,-2.0226,147.2712,27.02,83,27,5.15,PG,1724261743
330,margate,51.3813,1.3862,19.93,63,98,0.45,GB,1724261707
331,brumadinho,-20.1433,-44.1997,33.21,16,0,3.53,BR,1724261747
332,kargil,34.5667,76.1,11.5,55,26,2.53,IN,1724261748
333,saldanha,-33.0117,17.9442,10.03,53,37,7.1,ZA,1724261749
334,kyren,51.6828,102.1408,14.11,90,4,1.08,RU,1724261751
335,coyuca de catalan,18.3333,-100.65,30.47,66,43,0.32,MX,1724261705
336,tobelo,1.7284,128.0095,26.6,81,97,1.21,ID,1724261753
337,san patricio,28.017,-97.5169,35.97,33,12,1.99,US,1724261755
338,st. john's,47.5649,-52.7093,23.66,91,75,7.72,CA,1724261756
339,patterson,37.4716,-121.1297,27.19,24,0,2.75,US,1724261758
340,tortoli,39.9256,9.6572,29.43,77,0,1.54,IT,1724261759
341,machico,32.7,-16.7667,26.35,61,20,10.8,PT,1724261760
342,vuktyl,63.8567,57.3094,12.98,70,75,4.11,RU,1724261761
343,tidjikja,18.5564,-11.4271,34.7,37,36,5.33,MR,1724261762
344,karaton,-6.3424,106.1045,22.29,92,79,0.9,ID,1724261763
345,callao,-12.0667,-77.15,19.84,77,100,2.06,PE,1724261495
346,oakdale,44.963,-92.9649,24.11,67,20,3.6,US,1724261768
347,el haouaria,37.05,11.0144,28.01,74,0,8.6,TN,1724261769
348,shakiso,5.75,38.9167,13.42,94,100,0.54,ET,1724261772
349,vilyuysk,63.7553,121.6247,14.06,94,100,1.88,RU,1724261773
350,tamandare,-8.7597,-35.1047,26.52,74,26,5.03,BR,1724261774
351,isangel,-19.55,169.2667,21.47,85,53,4.37,VU,1724261775
352,sarai naurang,32.8259,70.7814,30.4,53,82,2.51,PK,1724261776
353,pangobilian,8.8011,117.8594,26.29,87,99,0.59,PH,1724261778
354,alo,6.5486,4.2686,24.7,87,88,4.47,NG,1724261779
355,reyes,-14.3167,-67.3833,35.98,49,20,4.12,BO,1724261780
356,ulladulla,-35.35,150.4667,14.47,65,96,3.53,AU,1724261781
357,weiser,44.251,-116.9693,25.73,40,9,1.52,US,1724261782
358,tangalle,6.024,80.7911,23.36,93,100,3.63,LK,1724261783
359,edgewater,28.9889,-80.9023,33.38,55,40,4.63,US,1724261785
360,yamada,39.4667,141.95,20.45,96,96,2.47,JP,1724261786
361,recani,31.2846,-4.2688,31.31,34,51,2.1,MA,1724261787
362,ta`u,-14.2336,-169.5144,26.06,81,89,8.63,AS,1724261788
363,atkarsk,51.8718,45.0078,20.41,44,44,5.4,RU,1724261789
